CODE,DOMES,STATION DESCRIPTION,LAT,LONG,HEIGHT
BLUF,50234M001,Bluff NEW ZEALAN D,-46.58505556,168.2920833,124.6
BLW2,49219M001,BLW2_EBRY_WY2003 UNIT,42.76713889,250.4421944,2215.6
BOAV,41636M001,Boa Vista BRAZIL ,2.845194444,299.2988889,69.5
BOGT,41901M001,Bogota COLOMBIA ,4.640083333,285.9190556,2576.6
BOR1,12205M002,Borowiec POLAND ,52.27697222,17.07347222,124.4
BORJ,14268M002,Borkum GERMANY ,53.57891667,6.666444444,53
BRAZ,41606M001,Brasilia BRAZIL ,-15.94747222,312.1221389,1106
BREW,40473M001,BREWSTER UNITED STATE,48.13152778,240.3173611,238.6
BRO1,50176M003,Broome AUSTRALIA ,-18.00397222,122.2090833,42.2
BRST,10004M004,Brest FRANCE ,48.3805,355.5034167,65.8
BRUX,13101M010,Brussels Ukkle - Royal,50.79805556,4.358555556,156.3
BSHM,20705M001,HAIFA ISRAEL ,32.779,35.023,223.1
BSMK,49636S001,Bismark North Da kota,46.82113889,259.1833056,551.2
BUCU,11401M001,Bucarest ROMANIA ,44.46394444,26.12575,141.3
BUR2,50144M003,BURNIE AUSTRALIA ,-41.05005556,145.9148611,3.8
CABL,49763M001,CAPE BLANCO OREG ON U,42.83611111,235.4366667,37.8
CAGS,40147M001,Gatineau CANADA ,45.58502778,284.1926667,235
CAMP,19916M001,Campo dell ORO Aj accio,41.91825,8.790777778,60.8
CANE,10089M003,Cannes - La Bocca  FRA,43.55458333,7.015722222,91.1
CANT,13438M001,Cantabria SPAIN ,43.47197222,356.2019444,99.2
CAS1,66011M001,Casey ANTARTICA ,-66.28336111,110.5196944,20.6
CASC,13909S001,Cascais PORTUGAL ,38.69341667,350.5814722,76
CCJ2,21732M002,CHICHIJIMA / OGAS AWARA,27.06752778,142.1950278,102.2
CEBR,13408M001,Cebreros SPAIN ,40.45344444,355.6321389,775.8
CEDU,50138M001,Ceduna AUSTRALIA ,-31.86666667,133.8098333,144.7
CEFT,41682M001,Docas do Ceara B RAZIL,-3.710805556,321.5270833,4.9
CEU1,13449M002,Ceuta SPAIN ,35.89197222,354.6936111,52.4
CHAN,21611M002,Changchun CHINA ,43.79069444,125.4441944,271.4
CHCM,49277M001,Chimacum Schools UNIT,48.01061111,237.2241389,20.4
CHIL,40484M001,Chilao flates / S an Ga,34.33341667,241.974,1567.5
CHOF,21788M001,Chofu JAPAN ,35.67455556,139.5310556,93.9
CHPG,41609M004,Cachoeira Paulist a BR,-22.68227778,314.9976111,564.3
CHPI,41609M003,Cachoeira Paulist a BR,-22.68713889,315.0148333,617.4
CHTG,19622M001,Cherbourg FRANCE ,49.65125,358.3645278,54.9
CHTI,50242M001,Chatham Island No rth,-43.73547222,183.3828889,75.7
CHUM,25601M001,Chumysh KAZAKSTA N,42.9985,74.75111111,716.3
CHUR,40128M002,Churchill CANADA ,58.75908333,265.9112778,-19.2
